#A3.3.5 工程別工期：新規開発 (Copyright 2022 IPA)
base_design,detail_design,develop,integration_test,system_test
0.03286384977,0.06103286385,0.6666666667,0.1267605634,0.1126760563
0.04605263158,0.4539473684,0.1907894737,0.1776315789,0.1315789474
0.05,0.2214285714,0.3,0.2142857143,0.2142857143
0.05241935484,0.06451612903,0.3870967742,0.4758064516,0.02016129032
0.05369127517,0.1946308725,0.2483221477,0.1342281879,0.3691275168
0.06730769231,0.1923076923,0.3076923077,0.2692307692,0.1634615385
0.0703125,0.1484375,0.3125,0.3671875,0.1015625
0.07291666667,0.1458333333,0.1770833333,0.3125,0.2916666667
0.07874015748,0.03937007874,0.5984251969,0.2047244094,0.07874015748
0.08,0.05,0.11,0.36,0.4
0.0826446281,0.1377410468,0.1680440771,0.2920110193,0.3195592287
0.0826446281,0.1652892562,0.3388429752,0.2479338843,0.1652892562
0.08928571429,0.2797619048,0.2797619048,0.2202380952,0.130952381
0.09036144578,0.03012048193,0.4096385542,0.2048192771,0.265060241
0.09677419355,0.08797653959,0.4780058651,0.2404692082,0.09677419355
0.09708737864,0.2394822006,0.2394822006,0.2621359223,0.1618122977
0.09900990099,0.1683168317,0.3267326733,0.2277227723,0.1782178218
0.1014492754,0.1884057971,0.2898550725,0.2173913043,0.2028985507
0.1020408163,0.1530612245,0.2857142857,0.1530612245,0.306122449
0.1029411765,0.1691176471,0.3970588235,0.1176470588,0.2132352941
0.1037037037,0.2592592593,0.2518518519,0.237037037,0.1481481481
0.1052631579,0.1578947368,0.1929824561,0.2456140351,0.298245614
0.1052631579,0.2105263158,0.2894736842,0.1052631579,0.2894736842
0.1052631579,0.02631578947,0.5,0.3157894737,0.05263157895
0.1054852321,0.08438818565,0.08438818565,0.3839662447,0.3417721519
0.112244898,0.1836734694,0.193877551,0.2959183673,0.2142857143
0.1162790698,0.1162790698,0.4186046512,0.1627906977,0.1860465116
0.1162790698,0.1162790698,0.476744186,0.1162790698,0.1744186047
0.1180124224,0.06832298137,0.2670807453,0.2795031056,0.2670807453
0.1203319502,0.1659751037,0.2531120332,0.2531120332,0.2074688797
0.1241610738,0.1912751678,0.2080536913,0.2483221477,0.2281879195
0.125,0.25,0.375,0.125,0.125
0.1296296296,0.1296296296,0.4444444444,0.1666666667,0.1296296296
0.1319444444,0.1041666667,0.5625,0.1111111111,0.09027777778
0.1333333333,0.25,0.2333333333,0.2333333333,0.15
0.1340206186,0.2268041237,0.2783505155,0.1649484536,0.1958762887
0.1355932203,0.1016949153,0.2711864407,0.2203389831,0.2711864407
0.1369863014,0.1575342466,0.1438356164,0.2397260274,0.3219178082
0.1385281385,0.1731601732,0.4502164502,0.1731601732,0.06493506494
0.1393568147,0.248085758,0.2511485452,0.2664624809,0.09494640123
0.14,0.14,0.46,0.18,0.08
0.14,0.2,0.3,0.13,0.23
0.141025641,0.2820512821,0.2564102564,0.05128205128,0.2692307692
0.141509434,0.141509434,0.2877358491,0.2877358491,0.141509434
0.1428571429,0.1607142857,0.2678571429,0.1964285714,0.2321428571
0.1428571429,0.1785714286,0.25,0.2571428571,0.1714285714
0.1428571429,0.1298701299,0.1558441558,0.4025974026,0.1688311688
0.1449275362,0.1449275362,0.2898550725,0.2753623188,0.1449275362
0.1477272727,0.1704545455,0.2727272727,0.2840909091,0.125
0.1481481481,0.3259259259,0.2037037037,0.09259259259,0.2296296296
0.1482758621,0.2068965517,0.2103448276,0.2103448276,0.224137931
0.1492537313,0.09950248756,0.2985074627,0.1492537313,0.3034825871
0.1494845361,0.07731958763,0.1391752577,0.0618556701,0.5721649485
0.152173913,0.09782608696,0.1739130435,0.2826086957,0.2934782609
0.1530612245,0.1632653061,0.2653061224,0.3367346939,0.08163265306
0.1530612245,0.08163265306,0.193877551,0.4183673469,0.1530612245
0.1538461538,0.1076923077,0.3230769231,0.2307692308,0.1846153846
0.1538461538,0.1538461538,0.2307692308,0.2307692308,0.2307692308
0.1578947368,0.0977443609,0.1353383459,0.2180451128,0.3909774436
0.1578947368,0.2157894737,0.2157894737,0.09473684211,0.3157894737
0.1585365854,0.1341463415,0.4756097561,0.1219512195,0.1097560976
0.1585365854,0.1219512195,0.2926829268,0.3048780488,0.1219512195
0.1590909091,0.125,0.4431818182,0.125,0.1477272727
0.1612903226,0.3225806452,0.2056451613,0.1209677419,0.189516129
0.1650485437,0.2718446602,0.2233009709,0.1941747573,0.145631068
0.1657458564,0.1104972376,0.1104972376,0.2762430939,0.3370165746
0.1666666667,0.05555555556,0.2222222222,0.2555555556,0.3
0.1666666667,0.1666666667,0.2777777778,0.2222222222,0.1666666667
0.1666666667,0.2777777778,0.2888888889,0.1555555556,0.1111111111
0.1675977654,0.1675977654,0.2737430168,0.2234636872,0.1675977654
0.168,0.2,0.272,0.264,0.096
0.1685393258,0.1685393258,0.2247191011,0.2247191011,0.2134831461
0.1724137931,0.1293103448,0.3534482759,0.1293103448,0.2155172414
0.1724137931,0.1448275862,0.3103448276,0.1655172414,0.2068965517
0.1732283465,0.1811023622,0.3858267717,0.1338582677,0.125984252
0.1739130435,0.1449275362,0.1449275362,0.2898550725,0.2463768116
0.1739130435,0.2282608696,0.25,0.25,0.09782608696
0.1754385965,0.149122807,0.1929824561,0.1315789474,0.350877193
0.1757575758,0.09090909091,0.1818181818,0.3090909091,0.2424242424
0.1758241758,0.05860805861,0.1978021978,0.5274725275,0.04029304029
0.1758241758,0.1758241758,0.3516483516,0.1043956044,0.1923076923
0.1764705882,0.1058823529,0.1411764706,0.2352941176,0.3411764706
0.1769911504,0.1651917404,0.1799410029,0.2389380531,0.2389380531
0.1774193548,0.1720430108,0.2150537634,0.1612903226,0.2741935484
0.1777777778,0.2,0.2444444444,0.2133333333,0.1644444444
0.1818181818,0.1818181818,0.1818181818,0.3181818182,0.1363636364
0.1824817518,0.197080292,0.204379562,0.1240875912,0.2919708029
0.1829268293,0.1300813008,0.2479674797,0.2357723577,0.2032520325
0.1834862385,0.09174311927,0.2752293578,0.1743119266,0.2752293578
0.1834862385,0.1376146789,0.2660550459,0.1834862385,0.2293577982
0.1869158879,0.3177570093,0.3177570093,0.03738317757,0.1401869159
0.1869158879,0.1588785047,0.1962616822,0.1962616822,0.261682243
0.1875,0.1458333333,0.2083333333,0.125,0.3333333333
0.1886792453,0.1886792453,0.1886792453,0.1823899371,0.251572327
0.1895424837,0.2614379085,0.1633986928,0.1960784314,0.1895424837
0.1895734597,0.1421800948,0.2369668246,0.1895734597,0.2417061611
0.19,0.105,0.145,0.345,0.215
0.1917808219,0.2123287671,0.2465753425,0.3082191781,0.04109589041
0.1923076923,0.07692307692,0.2435897436,0.141025641,0.3461538462
0.1964285714,0.08928571429,0.3571428571,0.1785714286,0.1785714286
0.198019802,0.05940594059,0.3102310231,0.2640264026,0.1683168317
0.198019802,0.3514851485,0.3514851485,0.0495049505,0.0495049505
0.198019802,0.07920792079,0.2376237624,0.1584158416,0.3267326733
0.1986754967,0.1324503311,0.1986754967,0.2450331126,0.2251655629
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2011494253,0.2471264368,0.2643678161,0.1724137931,0.1149425287
0.2013422819,0.2348993289,0.2348993289,0.1140939597,0.2147651007
0.2015503876,0.2713178295,0.2403100775,0.2015503876,0.08527131783
0.203539823,0.2831858407,0.2654867257,0.1681415929,0.0796460177
