#A3.3.2 工数と工期：新規開発、開発 5 工程 (Copyright 2022 IPA)
hour_man,month
592,3.1
667,2.3
690,1.1
908,1.4
956.01,9
1317.5,8.1
1328,3.4
1417.6,2.8
1421.34,5.9
1491,7.7
1580,2.5
1600,2.9
1600,4.5
1635,2.7
1692,3.8
1699,4.8
1760,5.8
1810,9.9
1810.522,3.7
1856,8.6
1939.82,4.7
1940.75,3
2000.25,5.1
2112,5.6
2130,4.6
2320,7.2
2360.7,4
2454,9.1
2472,3.1
2604.88,4.2
2624,4.8
2686,3
2737,6.1
2755.76,7.2
2969.25,6.6
2973.25,5.2
3027.5,1.6
3040,8.1
3050.6008,3.9
3066,3.8
3190.4,13.5
3307.5,4
3316.25,16.1
3456,4.4
3570.8,5.1
3735,5.8
3739,5.6
3780,3.2
3790,10.1
3795,4.6
3837.75,4.2
3856,6.7
3888,5.1
4118.4,6.9
4215.44,6.7
4232,8.7
4235,5.5
4250.2,5
4320,8.8
4335,6.6
4359.1,5.7
4388.55,8.4
4483.2,7.5
4573,4.9
4584,6.4
4593.75,12.9
4602,5
4607,7.2
4651,5.3
4755,3.9
4800.8,5.8
4815,10.3
4871,6.7
4880,7.6
4945.4,5.3
4970,3.6
5043.2,3.2
5088,5.7
5139.2,7
5235.1,4.7
5279.5,5.9
5296,8
5308.8,5
5473.5,11.1
5474,14.2
5565,6.6
5631.6,4.9
5658,3.6
5685,6.9
5799.5,4.6
5817.8,2.9
5831,6.3
5840,9.5
6034,4
6036.8,5.2
6104.75,9.3
6170,8.9
6224,9.8
6390,9.1
6427.75,9.6
6486.4,10.4
6495,4.3
6510,8.1
6630,6
6645,11.3
6870,10.1
6880,5
6920.4,6
6936.2,5.1
6979,7.5
7040,8.6
7123.2,4.5
7184,8.3
7216.96,7.1
7305,9.1
7597.35,6.8
7600,5.8
7605,8.4
7615,8.3
7712,8.1
7800,8.2
7840,6
7984,5.5
8109.1,6.9
8208,9.1
8295,6.2
8320,18.3
8397.2,9.6
8480,9.7
8590.284,8.1
8644.5,11.2
8713,6.9
8784,10
8880,14.1
8925,7.7
9022,5
9036.8,8.1
9105,6.1
9534.4,19.3
9584,17.5
9600,10.8
9710.4,4.6
10264,3.4
10320,8.6
10365,8.1
10620.75,8.5
10665,6
10880,16.1
10910.4,13.5
10911,8.9
10987.2,5
11032,7.1
11421,4.4
11560,8.4
11745,14.6
11760,9.1
11824,10.6
12096,6.3
12150,10.9
12173.68,10.1
12288,8
12392,9.2
12800,13.2
12960,11.1
13342.56,8.2
13414,8.9
13696,7.6
13760,11.1
13953.6,4.8
13975.5,13.2
14070,4.4
14306.5,23.3
14383.93333,9.6
14385,4.6
14523.5,8.1
14557,14.2
15159,13.2
15315,9.9
15716.8,4.1
16170,12.2
17906,21.8
18057.5,18.3
18315,12.1
18366.4,10.1
18700,10.1
19007.4,11.7
19470,11.2
19584,12.2
19775.7,14.2
19837.5,7.1
19920,7.2
20664.56,11.8
20745,7.2
20960,13.1
20970,26.9
22645.5,8.4
22876,6.1
23010,8.4
23463,16.2
23548,12.3
23600,12
23632,11.6
25234.5,4.6
25292.8,12.1
25584,6.4
25584.8,24.1
26688.1,9.4
28087.5,7.1
28784,21.4
28802.04,12.1
28961.6,7.4
31305,15.1
31872,21.1
32304,9.1
32550,12.1
32795.27,8.7
33399,13.1
34019.5,18.1
34046.4,11.2
37180.8,15.2
37472,13.1
38010,13.6
39060,11.1
39832,12.1
40195.2,13.2
40953,10.3
41850,17.3
43216,21.3
44704,19.8
46345,11.4
47360,9.1
51782,7.7
53172.8,9.6
55340.8,15.1
56076,18.3
57545.96,14.8
57660,20.2
63761.6,16.2
64638,12.2
64725,20.9
65760,12.1
66846,13.2
67184.74,17.2
67860,16.2
68250,19.5
69136,20.2
74369,14.1
75787.43,13
85478,12.1
90240,15.2
94880,15.5
95887.65,29.9
102740.8,20.3
103815.0015,17.2
106425,12.1
106540.5,12.1
108460,10.1
111647.25,13.1
119680,18.2
120528,17.2
122768,21.3
125358,24.2
128980.5,15.2
138942,37.5
139342.5,8.1
141574.5,14.4
146056.5,17.2
151080,13.7
160389.6,26.5
183840,18.3
200970,17.3
269520,21.3
309919.5,12.1
342217.4,33.8
372899,26.3
385120,23.3
