#A1-1-1 (Copyright 2022 IPA)
loc,hour_man
1,828
6.5,8290.8
6.6,1421.34
11,4450
13,121.25
15.6,1317.5
24.5,956.01
30,2604.88
71.4,350
72,455
74,37472
82.7,28802.04
100.8,1015
116,742
123.5,14306.5
126,56
170,129
178.2,1923.2
246.4,10054.94
260,192
299,229
300,894
344,374
403.75,444.5
568.5,1822.4
675,1480
675,1696
680,326
738,914
877.1,624.75
886.2,577.5
890,296
917,818
950,8109.1
953.1,1499.75
954,1873
1000,136
1000,1125
1000,3600
1000,43200
1010,1403
1050,783
1053,800
1061,15134.64
1078.7,577.5
1080,12496.5
1100,2169.5
1100,2397
1100,3968
1100,9060
1150,2755.76
1200,4960
1220.75,437.5
1300,3050.6008
1396,896
1400,360
1500,192.5
1600,1836
1602,735
1635,1669
1800,1146
1800,1353
1825,1912
1900,7520
1942.75,480
1946,1445
1970,1165
2000,1621.75
2010,3484.75
2043.9,3062.5
2059,2975
2100,2406.8
2100,3400
2122,1850
2300,3131
2324,1992.2
2471,872
2638.3,1470
2724,554.5
2743,4464.24
2800,3648
2828,2876
2899,2937.3
2900,27930
2968,640
3000,854.5
3000,2400
3000,4250.2
3100.3,735
3125,1020
3150,3465
3262,816
3300,1140
3317.4,3060
3465,4550
3587,1830.4
3600,1547
3600,2682
3729,1687
3760,514
3800,1712
3820,4607
3893,1692
3900,2272
3940,2534
3954,800
4000,3825
4000,4215.44
4000,14040
4100,1294
4100,2368
4104.9,4270
4174,1600
4186,7520
4200,2802.5
4421,3587.5
4500,1554
4508,1072
4560,5368.8
4600,1360
4601,742
4670,1870
4787,1326
4800,1496
4800,5571.146228
4900,1810.522
4910,3791
5000,647.8
5080,1334.5
5300,1887
5600,6336
5600.7,3316.25
5601.6,3552.5
5628,4868
5628.6,1102.5
5727.7,1939.82
5774.4,2322.25
5890,2250
5958.5,8100.08
6000,1615
6000,3890.1
6000,22050.6
6074,11360
6210,19470
6416,6960
6500,2360.7
6500,3339.2
6504,2453
6870,4834.8
7000,2464
7000,6355
7000,6630
7043,3440
7088,8640
7120,2611.5
7175,2977.5
7200,685
7210.7,4970
7225.9,5648
7242,9536
7336,592
7400,1942
7400,14054.48
7401,3027.5
7458,2609
7500,2652
7500,10125
7506,5631
7650,2000.25
7733,5712
7820,4896
7859,6246.4
8000,23325
8190,5750
8192,11772.5
8300,3735
8400,4862
8445,7067.2
8491,5542
8495,8493.64
8585,6104.75
8600,4945.4
8657,1755.52
8666,2771
8698,5538
8750,5430
8800,1387.8
8800,2130
8850,4640
8990,22910.3
9121,8865
9200,2057
9200,3307.5
9200,3752.5
9500,3377
9500,4600
9541,4103.75
9600,6256
9800,1801.4
9845.5,3080.6
9881,1417.6
9980.1,3066
10000,1580
10000,3190.4
10101,1919.86
10170,6651.8
10300,2023.36
10300,2955.9
10350,5088
10387,785.6
10400,3213
10460,6317.3
10471,7547.63
10500,2783
10572,9744
10700,2736
10700,5321
10800,3822
10900,1156
11100,17088
11180,2160
11200,3179
11200,4850.6
11400,11310
11456,12960
11464.2,2537.5
11500,4913
11580,1799.2
11598.3,4235
11600,3479
11605,3655
11700,2533
11700,3043
11800,2107.5
11900,6225
12000,2400
12000,2443
12000,5043.2
12000,8126
12100,3140.8
12154,2564.63
12167,4456.5
12200,3091.2
12320,5474
12395,9954.1
12401,4263
12600,8480
12600,10880
12600,23904
12700,1212.8
12900,2839
12900,3189.2
12951,7956
13000,439
13000,4140
13022,3383.25
13200,2690.6
13300,3145
13400,4342.4
13400,6645
13510,4165
13600,3696
13618,2640
13671,1936.9
13700,22056
13800,9537
13800,9584
13911.3,4871
14000,2737
14000,36452.8
14200,13100.8
14202,5799.5
14324,11136
14400,5525
14500,11512
14900,7275
15202,2472
15500,2363
15500,9600
15587.1,1940.75
15910,4232
15975,17760.1
15981,2474.666613
16000,6000
16232,6170
16280,1403.5
16400,17475
16600,3707.2
16600,4845
16600,5179.9
16700,6936.2
16803,5817.8
16900,37873.6
17000,3651.7
17000,3910
17000,84112
17034.4,852.8
17060,3624
17170,1536
17290,7565.25
17300,4688
17300,5440
17300,8516.8
17400,11137.6
17460,10030
17500,2128
18000,2703
18000,3318
18075,7872
18184,7533
18270,4095
18380,5758.2
18400,2705.6
18437,1328
18500,8397.2
18500,19992
18584,2743.45
18600,4275.1
18600,8713
18659,11421
18800,4815
18800,9088
18826,14383.93333
18900,5083
18900,6034
19000,5235.1
19000,5296
19000,16170
19100,6400
19135,1810
19200,2707.5
19250,7929
19500,12068.32
19550,2894.5
19700,6307
19794,8591.4
19803.3,14500
20000,2686
20000,8590.284
20000,61305.6
20175.3,5473.5
20196,1882.5
20220,3351.5
20282,2973.25
20323,4651.2
20470,3781.4
20500,3795
20502.6,4483.2
20569,3684.98
20610,7511.75
20700,7123.2
20800,5100
21000,1168
21000,6324
21000,6409
21000,6495
21000,7905
21000,8640
21022,5631.6
21290,4654.96
21500,5040
21500,6698
21680,8163.75
21800,34019.5
21830,3080.5
21900,11254.4
22220,4556
22220,4556
22400,13393.5
22432,8279.05
22500,11644
22683,4599.85
22800,3250
22800,4607
23000,2403.2
23100,14985.6
23141,2560
23151,8342.064
23400,5139.2
23400,11824
23500,9710.4
23600,5287
23746.8,3040
23800,1856
23852,5685
24100,6510
24120,12118.6
24143,4553.6
24156,6688.85
24200,11202
24394,6937.5
24500,5714.9
24500,19419.83613
24600,3689
24828,11032
25000,2691
25000,5152.3
25000,6427.75
25100,12800
25152,21600
25419,33600
25737,9890.506257
25759,4800.8
25800,4733
25911,7984
26000,20000
26000,103070.8
26045,3456
26061,4388.55
26290,3479.91
26304,6033.435883
26318.7,3591
26800,10720
27000,8295
27200,6615
27215.5,3856
27261,1700.48
27500,6465
27500,23754
27600,3961
27700,5208.03
27704,11025
27900,6324
28000,2560.5
28170,12117
28400,14523.5
28464,8097.19
28649,5279.5
28908,4863.2
29000,9860
29200,18081.65
29223,17080
29444,3837.75
29958,7120.1
30000,3281
30000,4573
30000,6120
30000,9910.4
30000,10665
30000,23640
30226.85,2007
30388,6825.6
30800,3780
31300,11155.2
31500,6307
31600,4703.55
31772,4335
31800,14070
31813.6,4320
31868,7216.96
32000,4454
32000,4651
32000,5360
32100,5831
32300,3460.1
32500,18900
32516,15426
32640,6979
32642,12407.5
32880,32200
32954,4602
33000,8982.4
33040,18315
33100,6069
33127,7312
33200,41537.6
33300,13736
33311,13414
33400,11200
33505,14941.94776
33700,15590.4
33743,6486.4
33800,4233.9
33800,11760
33960,9022
34100,7939
34112,14880
34500,9176.5
34616,13342.72
34958,13358.5
35000,21168
35100,6058
35100,21300
35200,11713
35300,13953.6
35400,7191
35400,46747.2
35500,13760
35700,13776
35700,16554
36000,18144
36200,8893.5
36323,7305
36345,8884.15
36387,16000
36430,4359.1
36450,5136
36535,4118.4
36600,9534.4
36674,1600
36697,1374
36980,32470
37000,5661
37000,30982
37126,15583.1
37200,57545.96
37280,2320
37500,8228
37510,7597.35
37616.25,8988.8
37700,12288
37700,12495
37800,8692.8
38000,3570.8
38100,6870
38150,8639.56
38170,37480
38200,4755
38270,10110
38300,4131
38394.5,18700
38420,35140.5
39000,3844.8
39000,9168
39345,13342.56
39758,16800
39900,21312.5
40000,5729
40600,42840
40604,13454
40700,16770
40800,43772.8
41000,9248
41010,4828.25
41100,15624
41206,7929.6
41300,13872.5
41600,9265
41600,10987.2
41800,9036.8
41856,12096
42000,10736
42000,12971
42300,22876
42301,6036.8
42400,8789
42416,17966.4
42596,25380
42600,3849
42767,4352
43500,14368
43600,12640
43700,9741
43800,8202.1
44000,5565
44000,13696
44400,18683.2
44500,111712
44860,5876.6
44890,14560
45000,13498
45390,8880
45589,16779.05
46200,6769.5
46728,7800
47000,5488
47000,7605
47220,26688.1
47707,10291.5
47800,11259.2
47874,12104
48172,11118
48500,1920
48672,16080.74
48975,14336
49300,3056
49400,9105
49400,9418
49504,7292
50400,26622
50473.5,14240
50926,13552
51019,36128
51300,8756.8
51800,20326.4
51800,24944
52167.62,22247.40892
52200,3159.3
52400,43216
53000,10910.4
53000,11560
53700,8902.4
53962.3,9940
54300,4750.8
54400,23457.6
54400,23600
54550,14385
54800,18615.5
55100,15011
55264,3496
55264,3496
55270,13226
55400,4400
55470,4625.04
55634,12975.55
55680,25664
55950,65996.8
56100,8030.4
56560,26766.386
56600,6156.8
57000,6864
57085,12173.68
57170,4233.6
57700,32351
58400,18873.6
58500,9840
58608.9,12960
59000,31100
59400,7615
59400,30022
59600,8925
59900,14338.38974
61000,8208
61099,6471.4
61455,85052.89
61620,95887.65
61795,21763.2
62000,14739
62500,32550
62600,29580
62900,52140
63400,2312.9
64000,30496
65000,23463
65300,32795.27
65500,31395
65700,18955
65800,146056.5
66000,103848
66100,75787.43
66900,13876.5
67000,1307.25
67100,17510
68000,9554
68030,17913.5
68300,7840
69000,32010
69000,33399
69800,14544
69957,14642.49
70000,22041
70356,5950.9
71990,11745
72000,15159
73200,15096
73936,17442.9
74200,853.2
75000,160800
75556,3412.24
75642.35,8034.4
77353,12223.84
77364.6,7712
78600,74345.44188
79560,44704
79761,15376
80093,12382.7
80420,18430.53
81100,28215.6
81300,18057.5
81700,22440
82600,12529
83000,5853
83040.3,12392
84574,44182.5
84694.5,16650
84978,29340
85575,39832
86400,26095
86500,38010
86700,41650
86855,4064
87000,23010
87000,32304
87498,10365
87685,25234.5
88500,15960
89000,25670
89400,2964.6
89900,23902
91200,40953
91521,2152
91600,23632
92400,70720
93700,47360
94214,5403.064095
94400,5265
94486,19837.5
94850,31015.5
95475,6880
96200,70528
96990,41571
97200,9521.6
98819,42088.96
99486,16560
100000,15555
100000,18240
100500,11392
101600,20899.2
102000,9084.83
102340,21424.8
102490,45084
102600,37180.8
102713,17748
103241,17296
103600,26605
103675,46384
103700,15222.4
103700,48160
104505,9869.5
104800,19007.4
104969,18366.4
108200,33697
108500,110560
109200,15164
109900,22645.5
111700,15640
112337,15315
113296,23325.9
113449,15774.9
114100,51432
114700,54030
115540,29434.5
116400,8330
116400,34137.19967
116900,34751
117080,6405
118500,33081.6
118600,23236.8
118900,20336
120046,63430.4
120400,20745
120500,28961.6
122200,19846.4
123300,25335
123769,6944
125700,49028
126500,19584
127000,23017.4
127207,8644.5
128700,87380
130000,46345
130200,24288
130200,105230
130576,49615.5
131700,22863
133000,74369
135400,80733
135905,30097.52
136689,103840
137000,20960
137300,63761.6
139500,25584
140973,42188.3
141570,48441.07
143200,21390
147221,19846.64
147800,38160
147837,28080
148240,30321.88
149000,40970
149386,11200
149500,16915
150042,34046.4
150100,67860
150800,69136
151200,18952.5
152000,5308.8
152344,26845.08
155100,17906
155800,7184
156081,81465.6
158000,10266.64
158200,32371.2
158330,27421.2
159973,6224
160000,19108
160100,33606
161255,6231.994933
166890,277725.6
168500,66216
172140,30988.8
176300,28696
177600,12150
179000,15716.8
179100,40960
180400,31331
180400,39060
181400,61047
181700,19920
181888,23205
182320,55340.8
182880,41710.49976
183000,41850
184700,25292.8
187615.4,28784
188200,92268
195300,73920
195900,42316
197412,20664.56
198400,61999
199449.6,40195.2
200000,70974
200000,118980
200400,120528
200700,137520
201600,64725
202700,38310
202700,43022.4
204000,54828
205000,42500
208000,19281
208235,5240
211000,68250
213100,31484
214900,31305
215700,104914.0546
216223,39200
216223,41600
216500,43360
219000,56780
220600,75299
228600,57660
233000,13975.5
237800,112750.1
240518,49843.2
246600,102740.8
247200,54791
251600,79170
257000,122768
260000,39148.8
269633.75,12596.6
283500,41837
293900,51782
297800,6352
298200,119680
299000,67122
299600,166764.5
306900,53952
308100,80121
312000,31872
314582,55857.23
314900,53091
326300,60384
329800,40451.2
340800,151080
347100,53941
348400,66846
351600,23552
356300,90240
361700,106425
365387,53172.8
373200,80832.5
373511,97680
385600,385120
396500,108460
401000,183840
406500,98085
406723,16070.16
412000,125358
414050,126259
414200,128980.5
415000,200970
420200,78028.5
426400,64362
430603,27734.56
433443,3880
437000,6920.4
441079.2,10620.75
444800,138942
446000,67184.74
455900,84331.5
465700,196350
486720,130665
500110,125661.56
507600,166831.5
531100,150334.5
534300,111647.25
537761,19185.6
539132,267912.612
544600,54960.16
559200,342217.4
567000,65760
571400,184192
571800,192000.6128
583000,372899
601400,94880
601400,103815.0015
624000,269520
642000,65750.99982
655300,139342.5
656900,106560
667000,575229.3559
682000,25459.5
691730,141574.5
698000,4880
708000,95271
727000,175134.5002
743154,147259.05
864500,197346
875000,82590.75
878000,115242.5012
881000,72294.75
946900,176700
1047400,187751.5
1049300,19095.76
1169800,160389.6
1216762,210780
1479900,398208
1821500,491782.5
1949400,272224
2624000,64638
3070000,85478
4085300,977760.01
5942580,8320
7591000,8317
15675000,64387.2
